0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
116  [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/mediapc/git/datos/solr-4.10.3/node1/contexts at interval 0
122  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/mediapc/git/datos/solr-4.10.3/node1/contexts/solr-jetty-context.xml
356  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/mediapc/git/datos/solr-4.10.3/node1/webapps/solr.war!/ to /home/mediapc/git/datos/solr-4.10.3/node1/solr-webapp/webapp
3076 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
3287 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
3494 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
3495 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/mediapc/git/datos/solr-4.10.3/node1/solr
3528 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/mediapc/git/datos/solr-4.10.3/node1/solr/'
3844 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/mediapc/git/datos/solr-4.10.3/node1/solr/solr.xml
4258 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/mediapc/git/datos/solr-4.10.3/node1/solr
4275 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 24043270
4276 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/mediapc/git/datos/solr-4.10.3/node1/solr/]
4328 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
4329 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
4340 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
4343 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
4343 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
4343 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
4343 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
4343 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
4344 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
5177 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
5179 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
5180 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
5182 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
5197 [main] INFO  org.apache.solr.cloud.SolrZkServer  – STARTING EMBEDDED STANDALONE ZOOKEEPER SERVER at port 9983
5698 [main] INFO  org.apache.solr.core.ZkContainer  – Zookeeper client=localhost:9983
5754 [main] INFO  org.apache.solr.common.cloud.ConnectionManager  – Waiting for client to connect to ZooKeeper
5887 [main-EventThread] INFO  org.apache.solr.common.cloud.ConnectionManager  – Watcher org.apache.solr.common.cloud.ConnectionManager@174f7a7 name:ZooKeeperConnection Watcher:localhost:9983 got event WatchedEvent state:SyncConnected type:None path:null path:null type:None
5889 [main] INFO  org.apache.solr.common.cloud.ConnectionManager  – Client is connected to ZooKeeper
5935 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer/queue
5960 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer/collection-queue-work
5985 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer/collection-map-running
6017 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer/collection-map-completed
6038 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer/collection-map-failure
6060 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /live_nodes
6072 [main] INFO  org.apache.solr.cloud.ZkController  – Register node as live in ZooKeeper:/live_nodes/192.168.0.142:8983_solr
6081 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /live_nodes/192.168.0.142:8983_solr
6096 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /collections
6119 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer_elect
6128 [main] INFO  org.apache.solr.common.cloud.SolrZkClient  – makePath: /overseer_elect/election
6138 [main] INFO  org.apache.solr.cloud.Overseer  – Overseer (id=null) closing
